Typecode,eta,Design_Mach,Thrust,Soot-g/kg,mass,wingspan
B738,0.23,0.79,226980,0.007533,79016,34.30
B737,0.23,0.79,208744,0.007533,70080,34.30
B739,0.23,0.79,226980,0.007533,85139,34.32
B77W,0.32,0.86,996966,0.0029295,351530,64.80
B763,0.24,0.83,518038.2,0.007533,158758,47.57
B752,0.24,0.83,322040,0.007533,113400,38.06
B772,0.32,0.86,698400,0.0029295,286900,60.93
B788,0.31,0.87,578120,0.0046035,227930,60.12
B744,0.28,0.89,986684,0.005859,396894,64.44
B789,0.31,0.87,603146,0.0046035,254011,60.12
B77L,0.29,0.86,833424,0.0029295,347450,64.80
A320,0.23,0.79,232994,0.0029295,73500,34.10
A321,0.23,0.79,258796,0.0029295,89000,34.15
A319,0.23,0.79,232800,0.0029295,73500,34.10
A333,0.31,0.83,582000,0.0071145,233000,60.30
A20N,0.23,0.79,232800,0.000000837,79000,35.10
A332,0.31,0.79,310400,0.0071145,93500,35.27
A388,0.34,0.86,644080,0.005022,569000,79.80
E75L,0.23,0.79,124160,0.007533,37200,25.30
E75S,0.23,0.79,124160,0.007533,37200,25.30
E190,0.23,0.79,124160,0.007533,48790,27.73
E145,0.23,0.75,124160,0.007533,22000,20.04
E195,0.23,0.79,124160,0.007533,48790,27.73
CRJ9,0.23,0.82,124160,0.007533,38329,23.25
CRJ2,0.23,0.82,124160,0.007533,38329,23.25
CRJ7,0.23,0.82,124160,0.007533,38329,23.25
